Student Number,Minutes of Study,Final Score(%),,,,,,
1,120,95.6,,,,,,
2,180,95,,,,,,
3,0,95.1,,,,,,
4,330,98.35,,,,,,
5,0,93.3,,,,,,
6,240,81.15,,,,,,
7,90,80.85,,,,,,
8,330,93.8,,,,,,
9,0,97.5,,,,,,
10,120,92.1,,,,,,
11,0,91.25,,,,,,
12,0,94.05,,,,,,
13,0,95.8,,,,,,
14,0,96.95,,,,,,
15,210,94.7,,,,,,
16,0,80.85,,,,,,
17,0,97.3,,,,,,
18,0,91.55,,,,,,
19,360,94,,,,,,
20,120,93.85,,,,,,
21,240,97.85,,,,,,
22,0,97.15,,,,,,
23,210,95.15,,,,,,
24,0,96.8,,,,,,
25,370,91.65,,,,,,
26,150,91.8,,,,,,
27,270,85.9,,,,,,
28,315,97.15,,,,,,
29,190,91.35,,,,,,
30,270,92.5,,,,,,
31,165,98.5,,,,,,
32,0,95.65,,,,,,
33,150,88.55,,,,,,
34,285,92.35,,,,,,
35,30,91.3,,,,,,
36,150,87.05,,,,,,
37,930,85.05,,,,,,
38,200,88.45,,,,,,
39,190,85.2,,,,,,
40,240,94.55,,,,,,
41,625,97.3,,,,,,
42,635,97.6,,,,,,
43,210,97.2,,,,,,
44,510,90.65,,,,,,
45,425,85.4,,,,,,
46,410,84.55,,,,,,
47,350,94.45,,,,,,
48,330,88.35,,,,,,
49,120,86.95,,,,,,
50,225,88.45,,,,,,
51,105,93.25,,,,,,
52,185,95.2,,,,,,
53,445,86.85,,,,,,
54,0,96.55,,,,,,
55,0,96.85,,,,,,
56,740,89.5,,,,,,
57,290,94.9,,,,,,
58,185,93,,,,,,
59,85,88.45,,,,,,
60,390,91.7,,,,,,
61,495,94.6,,,,,,
62,665,94.05,,,,,,
63,200,83.95,,,,,,
64,450,84.75,,,,,,
65,140,90.9,,,,,,
66,70,98.35,,,,,,
67,85,93.85,,,,,,
68,40,95.3,,,,,,
69,120,91.25,,,,,,
70,155,87.35,,,,,,
71,500,93.3,,,,,,
72,85,95.45,,,,,,
73,120,84.2,,,,,,
74,0,92.75,,,,,,
75,125,81.85,,,,,,
76,390,87.35,,,,,,
77,40,98.15,,,,,,
78,365,98.65,,,,,,
79,35,90.7,,,,,,
80,120,93.25,,,,,,
81,0,96.8,,,,,,
82,85,88.25,,,,,,
83,175,94.4,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,Final,
,,,,,,,Score,
,,,,,,,(%),
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,.
